,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Alba,-0.6093344944129,0.016828951947391854,-0.5200359971542082,0.16202715956114708,-0.1329217331059391,0.9091083405807951,0.837265966877927,1.0795130249412759,-0.7098108430225727,0.17662274936285824,0.035303881378333124,0.010151916460619649,0.21900600998704534,0.16648760182314687,0.01379561970583821,0.20781520985768256,-0.13330144692154114,0.04777881704661431
Arad,-0.3800465986283961,-2.1908775938672256,0.21977533985745007,-0.6250977009746309,0.38390315596914604,0.01031727320833546,-0.1532097515988528,0.5382416475418668,0.09733109924244307,-0.3983316342599836,0.32374409943874716,-0.08036705938324303,0.26924513913963416,-0.1512837276860055,0.16582161504259058,0.09647747473496558,-0.055627982802108136,-0.08665969836972966
Arges,0.9672518749343775,1.179825371942455,0.7158102014727712,-1.0999906467068417,0.44008764584724713,0.36025611020269405,-0.12134576991476614,0.5495900207538563,-0.9092540752226896,0.41482984833205644,-0.4596554137698858,-0.2908177281513072,0.32216146139749635,0.16558302169708175,-0.08538292902997205,-0.024011133746502218,-0.1971249454833676,-0.015928333153639878
Bacau,-0.33822302372125324,1.8203190310034896,1.6748566846022364,0.5805278853777301,0.5696723528872119,0.5988421040833752,-0.3283062405710169,-0.28337116755329855,-0.24867806137737444,-0.09437780685364103,-0.46346859182838135,-0.21290925936022395,0.1072135767148867,-0.44652622240151396,0.04896901201772074,-0.11106885984135655,-0.07661965420002588,-0.01586182664835623
Bihor,0.29256105559660023,-0.9140357602277296,1.724217430904802,-1.5511974952077128,0.03336260071206423,0.38595942699267854,-0.041385290485386174,0.30477476106940277,0.48554622940420666,-1.0186062071665682,0.131957930138897,-0.2685874302017158,0.03786173212321035,0.050693028928851594,-0.21098595600104728,0.3749789501824809,0.1341432001514043,0.007231899817011209
Bistrita-Nasaud,-1.7301230991625152,-1.068120266098069,-1.3405267117166078,0.02864038161230627,-0.0329502429521511,-0.5684317233239878,1.3089622073106832,0.2528546655550559,-0.06153899740131746,-0.3469268961044293,-0.16164220936569704,0.14433742609315472,0.44254777145456253,-0.04402533747324018,0.0956586661055217,-0.07278063030292184,-0.06954547329609116,0.02536137728061824
Botosani,-1.2048075683464041,-0.06799037398655956,-0.45534483274290105,1.0941670639866654,0.4531852346361301,0.08802384717705147,-0.006103925749569649,1.6363620222495763,0.2833039798951829,-0.7098390686163509,-0.647924357260122,0.828329935782329,-0.5592689313209313,-0.1992239605218565,-0.0037115535553142237,-0.084133624249273,-0.005309835419648525,-0.01933383855532815
Braila,-1.9556265466717666,0.0729745163296419,-1.3980869843473362,1.1955477674948918,-0.10539678850631046,-0.30369633500007326,-0.007557241605809727,0.2433886071029615,0.12733489003875917,-0.49107163564262046,0.2970010995732135,-0.3102122728836583,0.29940070118230233,0.015274930579472703,0.17090189430197245,-0.10417480593184857,0.2566923146083211,-0.052126947776758845
Brasov,1.4293678085130888,-1.3685270603036557,0.279215045766585,1.2132995679910334,-0.767460802938032,1.4555729774780253,-0.5064800802121948,-0.1716923336626743,-1.1158627470549278,-0.13525456182925066,0.2404493207109152,-0.2647059512855671,-0.6695628493626847,0.2844023224047723,0.039041610313312464,0.23714866080438676,0.07418253193775425,-0.00570549156499242
Bucharest Municipality,16.27048554747379,1.7278075156884796,-1.8628583941006116,0.8942968791520345,0.5337635425050615,-0.8693445846885977,0.5391093937390408,-0.1729361065551886,0.39111818483120236,-0.12149632685636491,0.17687248144354273,0.013658283153365971,-0.011585802759993071,-0.11781900401883906,-0.0854996359108167,0.11623058825593906,-0.038543898201398155,0.003574229960783769
Buzau,-1.2944749459952505,1.5561158662757308,0.9703479030412604,0.6298094126353606,-1.0723275257256286,-0.9642018847404493,0.7979018679820156,-0.6531664323590431,-0.5650120009672696,0.40378970856486796,-0.3020034873373678,-0.024998644597809386,-0.33094895244036104,-0.14553948560170302,0.19925735623569452,-0.0005983210766123234,0.000951722362783464,-0.017692272126601172
Calarasi,-2.4566211482645866,-1.7390257750775855,-0.8057065688939713,3.139971935839237,0.7324497362142404,-0.9768573003418856,-0.6253364160127283,-0.7173097470450704,0.5618215546500885,0.44882859577564466,-0.5995047585081179,-0.519705856936515,-0.16037774836663757,0.0687305336104748,-0.3089432882153752,-0.028383951042979107,-0.0641503144948444,0.012017491023077698
Caras-Severin,-1.2568007567337451,-0.6122779237418866,-0.6648285169572853,-2.236815053642409,0.19837190855493825,-0.7711200873279238,1.1330883858294543,-0.3139459874611211,0.38086645255266055,0.3515933829935429,-0.19033950331765193,0.29313573847108426,0.006365189614225692,0.05502157128511516,0.027635903660072014,0.08315894511136011,0.025811444493753475,-0.06224134743123694
Cluj,3.3329685168614454,-0.7263371470808033,0.25130138700717747,-0.006576837220281608,0.5495462255433061,0.5308713607856473,-1.1062201862622878,1.369056159277974,-0.12304866143126965,0.3822996932966036,0.02742868026460099,0.1530643263039213,-0.22786286214370713,0.21478992531130606,0.2804637144399738,-0.22120325974628793,-0.007227122496941819,-0.06008103731200848
Constanta,1.8057112555791182,-2.8873725673144914,1.6264803405523691,0.4810154392662249,-0.09636047166712665,-0.5283010083066173,1.5659146490277556,-1.150626360285618,-0.9961831541051277,-0.40674917071478917,0.15116481209321564,0.24701742829287296,-0.19674276075935937,0.06395077748043937,0.01536582496317737,-0.3003543960505015,0.005469598537980822,-0.02525471088840762
Covasna,-2.4941316787401724,-0.12785685930745963,-2.4865190398470176,0.5049544812241714,0.2200606922461936,-0.5198361483952365,-0.3659036229829591,-0.05525687083058781,0.27795125065647575,-0.5533711583776663,0.3999662687997837,-0.04549174481906091,0.10809599303776846,0.33223560441629474,-0.00010246687685752737,0.00562870481682697,-0.06149526488570503,0.006137631537266365
Dambovita,-0.8601527162601758,1.785595032484385,-0.9903918074870519,-0.5190637673556713,-0.3313180836249592,0.04387287538030415,-0.738721479652896,0.07694215133816583,-0.5304718558185775,-0.8164017098135554,0.3984037808885002,-0.16625539978619763,-0.023866890116873898,-0.32851713236245705,0.2988933835389222,-0.18835297448278251,0.013218873015381417,0.10669437125851222
Dolj,0.14288146037270566,2.3730329509612957,2.514366992633899,0.6694038885249793,-0.8974594473444514,-0.21839291060572424,-1.215731873627042,-0.4405846983244815,0.42090330124431885,-0.04827979988975753,-0.1765935589594217,0.24331973817310942,0.2751738128611076,0.25941854058470376,0.2242628444463593,-0.01465596656792339,-0.10925392209998339,-0.018582473440296978
Galati,0.014619876767883571,1.2553045115353958,1.0929480478279254,2.159664899561541,-0.6218186566637189,-0.27000121713262354,0.9040703859585301,-0.42185493954069214,-0.5152344368213561,-0.03830920102238151,-0.20625634881293797,0.12210727143484895,0.452295677561124,0.0026556806690084126,0.03206938879382477,0.27666242256650586,0.19649927516946122,-0.013447236260216091
Gorj,-1.4686120217481256,-0.17021317591258953,-0.031136381838598657,1.0143734777028746,-0.08584386180852815,0.08091390743729152,0.15083884213374102,0.9852044475670979,-0.4264327639326481,0.7250898330728702,0.6384730406939345,0.06469965046211955,0.12120683308323453,-0.03290396644268411,-0.36243482852696557,-0.014854851417455366,0.07574981512049149,1.800637101227562e-05
