,Income (nominal gross earnings),Graduates (bachelor),Social allowances (paid amounts),Labour resources (k),Unemployment rate,Mortal labour accidents,Highway km,Natural gas distribution,Locuinte existente la sfarsitul anului,Lungimea cailor ferate,Populatia deservita de sistemul public de alimentare cu apa,Rata criminalitatii,Sectii sportive,Spitale publice,Suprafata intravilana (hectare),Suprafata spatiilor verzi (hectare),Unitati posta,Unitati invatamant primar si gimnazial
Alba,-0.04590437372888742,-0.3342781444553528,-0.4438219486336644,-0.579493859045444,-0.3518617406919849,0.3984018291248283,-1.0884438455388432,-0.17667677219516886,-0.5626915038207391,-0.22454508538221818,-0.2705887880543779,0.89785050046366,-0.3940943547579507,-0.03635038073580657,-0.07840050561721226,-0.37862332493438455,0.15245077166221951,-0.5774009095846272
Arad,0.10129952514855653,-0.12801005915105973,-1.0448529886652924,-0.22246863347305937,-1.3163090037034586,-0.814125476907258,0.6147692090543483,-0.2796327450506944,-0.21522667633096607,1.2602362334931803,-0.1270331279050587,-0.04193553235698535,0.026297138260424756,-0.2874984658195616,-0.0012665535838451028,-0.2090691820628538,0.6236622477090799,-0.28000465796121976
Arges,0.832412222906528,-0.18011090057367618,0.6513259240926739,0.3366877967310754,-0.22034620482678402,1.0046654821408714,-0.9574274567239822,-0.041182756876737635,0.45993783966874835,-0.24366244141924048,0.2833210090109326,-0.0010752700604355517,0.08832211264018507,0.7170938745154586,-0.19155155095541618,-0.21856421406365953,1.0671554016355365,0.9095803485324098
Bacau,-0.13177331474072973,-0.3056653872806372,1.8009157234161668,0.29878819586262206,0.9194551060049574,0.3984018291248283,9.309274333792024e-16,-0.13149233933462287,0.48209163739460636,-0.2818971534932851,-0.02445751298414044,1.2043024676877836,-0.2424777507185366,-0.2874984658195616,-0.07266326951555686,0.11511833910751294,0.6790988919498869,1.0748004883231916
Bihor,-0.6960549271042649,0.0423853156655302,0.2561056468595549,0.28835207388435247,-0.9217623961078558,-0.5109936503992365,9.309274333792024e-16,-0.0191187966668248,0.24044034377965512,1.4960169579497886,0.12137932784894312,-0.4709682864707583,0.026297138260424756,0.340371746889826,0.5401054196751389,0.03644521681512269,1.7878317767660288,0.4800079850763768
Bistrita-Nasaud,-0.887419995644942,-0.4664520003594495,-1.088011005993457,-0.7365849582972933,-0.6148928124223868,0.09527000261680671,9.309274333792024e-16,-0.36714966235966157,-0.8385208603745963,0.34897559572845077,-0.5852514556404226,-0.22580671269145947,-0.6697609075568854,-0.7897946359870717,-1.1213025347625734,-0.2863858712122718,-0.8454088246723082,-0.9078411891661909
Botosani,-0.6371733675532872,1.3696756037105464,-0.21607083653026338,-0.4147129857043434,-0.3957002526470519,-0.5109936503992365,9.309274333792024e-16,-0.4056329692184444,-0.36350165584701577,-0.664244274233731,-0.7179327496176224,1.326883254577433,-0.6559775799169387,-0.6642205934451941,-0.7751559566293637,-0.4762865112283862,-0.013859161060201774,-0.41218076979384527
Braila,-0.7377626984528739,-0.48994008460735033,-0.3421235199672551,-0.7019809748956621,0.21803891472388584,-1.1172573034152797,9.309274333792024e-16,-0.31538902180196665,-0.6835009563316314,-0.6833616302707534,-0.17853687237199065,0.6118286643878115,-0.6490859160969653,-0.6642205934451941,-1.0025736209922045,-0.23891071120824323,-1.3166203007191686,-0.47826882571015805
Brasov,0.790704451557919,0.16281512944567647,0.2117277192266366,0.2537480904827213,-0.746408348287588,-0.20786182389121488,9.309274333792024e-16,0.2854680233924642,0.2012825346414061,0.559266512135696,0.7449795639263425,1.2247325988360585,0.7637051669975752,0.4659457894317035,2.035770997842806,-0.4518707146548858,-0.5405072813478692,-1.0730613289569728
Bucharest Municipality,3.997296048771573,5.160652401321746,-1.7104078955117237,5.016464599618332,-1.3163090037034586,4.339115573729108,-2.267591344872591,5.912131459240078,5.17205709367738,-1.0593362989988586,5.241367561938987,-0.6752695979535073,5.243286649980264,5.112185363481172,1.9854108142838307,5.192247593252629,-1.3720569449599755,-0.11478451817043792
